Experiment,Mean,STD
01_results_pretests/RandomForest_3/MulticlassLda/20170201_1912,0.4435,0.0599485890854266
ConvNet_e200/MulticlassLda_14/20170301_0012,0.6692,0.0719858010690689
ConvNet_e200/MulticlassLda_5/20170226_1343,0.5937,0.0735754337020479
ConvNet_e200/PCA_14/20170228_0005,0.454,0.0857606488366832
ConvNet_e200/SELD_20_14/20170228_0927,0.4264,0.0736496209539918
ConvNet_e500/MulticlassLda_14/20170302_0037,0.6593,0.0768563595286688
LibSVM_linear_onevsone/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1247,0.6768,0.087923957043699
RandomForest_100/Indices/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170218_1621,0.6307,0.0377713883485606
RandomForest_100/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1502,0.6903,0.0485456257326834
RandomForest_100/MulticlassLda_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1427,0.6587,0.0575500748141226
RandomForest_100/PCA_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170218_1738,0.585,0.0851952006994656
RandomForest_100/PCA_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1524,0.5965,0.0531669278990448
RandomForest_100/SELD_20_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1212,0.6479,0.0587602473332666
RandomForest_100/SELD_20_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1322,0.6313,0.0297995152831571
RandomForest_100__regularizedOutput_r15/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170226_1924,0.7448,0.0492494782826287
RandomForest_100__regularizedOutput_r5/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170226_1818,0.7108,0.0480111098254005
RandomForest_20/20170219_2216,0.4448,0.0552284145868572
RandomForest_20/Indices/20170220_2327,0.3535,0.0314933855489265
RandomForest_20/Indices/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1614,0.6202,0.0379145237489687
RandomForest_20/MulticlassLda_14/20170218_1913,0.5239,0.0378636442455762
RandomForest_20/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1012,0.6714,0.0521753453909667
RandomForest_20/MulticlassLda_5/20170217_1239,0.4888,0.0404084699592108
RandomForest_20/MulticlassLda_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1636,0.6478,0.0546011802884232
RandomForest_20/PCA_14/20170218_2220,0.4488,0.0490777161471703
RandomForest_20/PCA_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1127,0.5666,0.0879333080616592
RandomForest_20/PCA_5/20170218_0336,0.3592,0.0293742139374732
RandomForest_20/PCA_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1620,0.5843,0.0562179291290203
RandomForest_20/SELD_20_14/20170216_1316,0.4908,0.0412305172845982
RandomForest_20/SELD_20_14/20170228_2306,0.4909,0.0416771986689231
RandomForest_20/SELD_20_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1152,0.6315,0.0605461256674061
RandomForest_20/SELD_20_5/20170216_1134,0.3688,0.0269682941412483
RandomForest_20/SELD_20_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1650,0.6228,0.0298767840006622
RandomForest_20/SELD_40_14/20170216_1245,0.4832,0.0402376274979858
RandomForest_20/SELD_40_5/20170216_1059,0.3692,0.027132596222584
RandomForest_20/SELD_60_14/20170216_1207,0.4774,0.0405851642297473
RandomForest_20/SELD_60_5/20170216_1027,0.366,0.0271456974286698
RandomForest_20__propagatedLabels_r15/MulticlassLda_14/20170303_0212,0.52,0.0378006466728929
RandomForest_20__propagatedLabels_r15/MulticlassLda_5/20170223_0109,0.4827,0.0402604023824899
RandomForest_20__propagatedLabels_r5/MulticlassLda_14/20170302_1026,0.5232,0.0374456643388494
RandomForest_20__propagatedLabels_r5/MulticlassLda_14/20170302_2231,0.557,0.0424264068711928
RandomForest_20__propagatedLabels_r5/MulticlassLda_5/20170219_1407,0.4873,0.0406203287912729
RandomForest_20__regularizedOutput_r15/MulticlassLda_14/20170224_2150,0.7541,0.0617709928328464
RandomForest_20__regularizedOutput_r15/MulticlassLda_5/20170302_0032,0.7345,0.0736949417833032
RandomForest_20__regularizedOutput_r5/MulticlassLda_14/20170224_1752,0.7072,0.0602159078280445
RandomForest_20__regularizedOutput_r5/MulticlassLda_5/20170221_2348,0.6686,0.0579639734854523
RotationForest_20_2/20170302_0134,0.5067,0.0426772122384352
RotationForest_20_2/MulticlassLda_14/20170228_2117,0.5239,0.0378636442455762
RotationForest_20_2/PCA_5/20170301_1027,0.3443,0.0312233886693933
RotationForest_20_2/SELD_20_14/20170301_0818,0.4924,0.0405221475793725
RotationForest_20_3/MulticlassLda_14/20170302_0016,0.5239,0.0383534729703698
RotationForest_20_4/MulticlassLda_14/20170301_2247,0.5249,0.0377607968371667
RotationForest_20_7/MulticlassLda_14/20170301_1732,0.5192,0.037773594539631
SVMliblinear/Indices/20170224_1335,0.0114,0.00374759181934805
SVMliblinear/MulticlassLda_14/20170224_0739,0.4574,0.0334869792274218
SVMliblinear/MulticlassLda_5/20170223_2239,0.4276,0.048769753832564
SVMliblinear/PCA_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170227_2127,0.1975,0.0820274344350718
SVMliblinear__propagatedLabels_r5/MulticlassLda_14/20170227_0943,0.4622,0.0337599368087876
SVMlin_onevsall/Indices/20170224_1628,0.0114,0.00374759181934805
